entity,code,year,schizophrenia,bipolar_disorder,eating_disorders,anxiety_disorders,drug_use_disorders,depression,alcohol_use_disorders
China,CHN,1990,0.318923522666,0.314534530788,0.0859178019155,3.12862554471,1.14739672634,3.57396570148,0.981807356449
China,CHN,1991,0.319390930653,0.31498711102,0.0870211835503,3.13228558284,1.15538768129,3.57228832064,1.00617518112
China,CHN,1992,0.319878286368,0.315466137911,0.0881828659419,3.13731213503999,1.16127958726,3.56873003970999,1.03031236696
China,CHN,1993,0.320380757991,0.31596143979,0.0894049069368,3.14325802240999,1.16517600689,3.56211295983,1.0528464227
China,CHN,1994,0.32088324578,0.31645155676,0.0907900322075,3.1495439989,1.16772612014,3.55186862999,1.07237297129
China,CHN,1995,0.321347181837,0.316898185006,0.0922069846672,3.15589832473,1.16867493984,3.53754674536,1.08723179118
China,CHN,1996,0.321799203155,0.317306765594,0.0938188369915,3.17856317167,1.1655936249,3.51761521763,1.10286760836
China,CHN,1997,0.322268115486,0.317705921209,0.0957708051591,3.22384160978,1.15725634431,3.49432614380999,1.12299335669
China,CHN,1998,0.322756330173,0.318106385603,0.0979301163116,3.27626573228999,1.14521500714,3.46964718976,1.14354369165
China,CHN,1999,0.323259260535999,0.318512812081,0.100176640236,3.32011550848,1.13241119205,3.44691299976,1.16030629865
China,CHN,2000,0.323762376831,0.318915204064,0.102479507405,3.33978392049,1.12048966194,3.42911934179,1.1688544664
China,CHN,2001,0.324377622732,0.319432414708,0.104750077537,3.33039392404,1.10813427615,3.41619256907,1.16866729273
China,CHN,2002,0.325156814638,0.320103576274999,0.107441660858999,3.30374973301,1.0937773479,3.40582757725,1.16418694812
China,CHN,2003,0.326011925686,0.320815777388,0.110202848277,3.26905253797,1.07863219111,3.39733092004,1.15840997958
China,CHN,2004,0.326817729463,0.321435189914,0.113182039792999,3.23555529312,1.06484691447,3.39057263168,1.15419476423
China,CHN,2005,0.327416170102,0.321785425706,0.116110343683,3.21288823206,1.05482137698,3.38384364819,1.15423013862
China,CHN,2006,0.328007263876,0.321984283359,0.119187555015,3.19977448928,1.04692512374,3.38322022326,1.16291536498
China,CHN,2007,0.328818599654,0.322215554413,0.122403274859,3.1879711005,1.04060822521,3.39085761916,1.17953518455
China,CHN,2008,0.329740088003,0.322423380866,0.12585357993,3.17650816362,1.03572086378,3.40142305972,1.1990698935
China,CHN,2009,0.330649139255,0.322561457217,0.129427112279,3.16457655759,1.03386292527,3.40894723903,1.21636499402
China,CHN,2010,0.331409213826,0.322563714664,0.132948864203999,3.15169244673,1.03434518201,3.40879313522,1.22615319542
China,CHN,2011,0.332100611851,0.32246962782,0.136489266053,3.13742363781,1.03774945776,3.40217751107999,1.22990910813
China,CHN,2012,0.332898337060999,0.322355147932,0.14007543726,3.12183269402,1.0440637222,3.39303217755,1.23265399218
China,CHN,2013,0.333800588608,0.322233381063,0.143960538237999,3.10497957481,1.05271799491999,3.38154964773,1.23420342388
China,CHN,2014,0.334795561324,0.322124309096,0.14767562178,3.08705917737,1.06405572709,3.36746163168999,1.23421794604
China,CHN,2015,0.33585204256,0.322019691651,0.151513481715,3.06853078091,1.07827523536,3.35127867894,1.23218999052
China,CHN,2016,0.33698093168,0.321948900878,0.155511001065,3.04982282563,1.09471412754,3.33259220112999,1.22779287466
China,CHN,2017,0.338174072578,0.321906029616,0.159587521318,3.03096888849,1.11394315344,3.31130589749999,1.22090281616
